date,b0,b1,b2,b3,t1,t2
2021-04-22,0.61362,-0.84841,-2.74234,-0.99871,2.70006,0.1947
2021-04-23,0.61362,-0.84841,-2.74234,-0.99871,2.70006,0.1947
2021-04-26,0.63142,-0.86038,-2.76562,-1.0144,2.66284,0.18982
2021-04-27,0.63142,-0.86038,-2.76562,-1.0144,2.66284,0.18982
2021-04-28,0.66291,-0.96295,-2.62827,-0.82617,2.66814,0.18337
2021-04-29,0.66291,-0.96295,-2.62827,-0.82617,2.66814,0.18337
2021-04-30,0.70588,-0.99416,-2.74526,-0.83918,2.64027,0.17158
2021-05-03,0.73844,-1.00516,-2.78978,-0.8871,2.57531,0.16854
2021-05-04,0.71153,-1.01039,-2.77087,-0.7735,2.64297,0.16714
2021-05-05,0.69227,-0.98455,-2.79647,-0.79732,2.65025,0.16679
2021-05-06,0.69227,-0.98455,-2.79647,-0.79732,2.65025,0.16679
2021-05-07,0.69227,-0.98455,-2.79647,-0.79732,2.65025,0.16679
2021-05-10,0.72335,-1.03052,-2.77743,-0.78521,2.65772,0.15297
2021-05-11,0.74906,-0.85191,-3.13565,-1.32544,2.44674,0.16586
2021-05-12,0.7612,-1.04833,-2.80605,-0.86234,2.60866,0.16189
2021-05-13,0.80151,-1.15356,-2.67415,-0.67411,2.54645,0.13833
2021-05-14,0.77006,-1.09929,-2.66143,-0.76431,2.58343,0.14716
2021-05-17,0.77006,-1.09929,-2.66143,-0.76431,2.58343,0.14716
2021-05-18,0.78037,-0.98179,-2.85878,-1.08643,2.46431,0.17609
2021-05-19,0.81407,-1.03904,-2.85463,-1.01895,2.45002,0.16037
2021-05-20,0.78901,-1.11735,-2.63288,-0.76568,2.53839,0.15321
2021-05-21,0.74611,-0.99804,-2.74409,-0.98071,2.47129,0.15872
2021-05-25,0.74719,-0.99532,-2.80207,-1.01791,2.55195,0.14981
2021-05-26,0.7311,-0.99264,-2.80384,-0.99589,2.64151,0.15175
2021-05-27,0.70181,-0.94327,-2.79425,-1.03877,2.62066,0.15715
2021-05-28,0.74529,-0.97762,-2.84384,-1.06371,2.57915,0.15478
2021-05-31,0.73187,-1.4024,-2.93815,0.83686,2.42195,1.0332
2021-06-01,0.69167,-1.36818,-3.47267,1.34358,2.27905,1.23635
2021-06-02,0.69167,-1.36818,-3.47267,1.34358,2.27905,1.23635
2021-06-03,0.69167,-1.36818,-3.47267,1.34358,2.27905,1.23635
